tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
727,05:10.1,17:17.2,3195,Sip Ave,40.7308971,-74.06391263,3212,Christ Hospital,40.73478582,-74.05044364,42149,Subscriber,1971,2
905,06:56.6,22:01.8,3192,Liberty Light Rail,40.7112423,-74.0557013,3681,Grand St,40.71517768,-74.03768331,42226,Customer,1993,1
694,07:12.7,18:47.4,3186,Grove St PATH,40.71958612,-74.04311746,3268,Lafayette Park,40.71346383,-74.06285852,42175,Customer,1969,0
193,16:13.9,19:27.2,3205,JC Medical Center,40.71653978,-74.04963791,3211,Newark Ave,40.72152515,-74.04630454,42259,Subscriber,1956,1
1021,25:50.7,42:52.5,3681,Grand St,40.71517768,-74.03768331,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42341,Customer,1993,1
570,28:33.0,38:03.7,3194,McGinley Square,40.72533993,-74.06762213,3194,McGinley Square,40.72533993,-74.06762213,42300,Subscriber,1980,1
856,30:46.9,45:03.1,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42298,Subscriber,1982,2
2254,37:59.3,15:33.4,3196,Riverview Park,40.7443187,-74.0439909,3195,Sip Ave,40.7308971,-74.06391263,42192,Subscriber,1964,1
2013,39:41.4,13:15.4,3212,Christ Hospital,40.73478582,-74.05044364,3212,Christ Hospital,40.73478582,-74.05044364,42357,Customer,1992,1
1970,40:47.9,13:38.7,3212,Christ Hospital,40.73478582,-74.05044364,3212,Christ Hospital,40.73478582,-74.05044364,42484,Customer,1988,2
310,40:55.5,46:05.9,3483,Montgomery St,40.71942,-74.05099,3681,Grand St,40.71517768,-74.03768331,42255,Subscriber,1968,0
1678,45:22.1,13:20.8,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3679,Bergen Ave,40.72210379,-74.071455,42580,Customer,1993,1
200,54:34.5,57:54.8,3481,York St,40.71649,-74.04105,3186,Grove St PATH,40.71958612,-74.04311746,42249,Subscriber,1968,0
1589,56:31.2,23:00.4,3276,Marin Light Rail,40.71458404,-74.04281706,3191,Union St,40.7182113,-74.0836394,42190,Customer,1991,2
199,57:27.2,00:47.2,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,42564,Subscriber,1986,1
1474,58:10.8,22:45.2,3276,Marin Light Rail,40.71458404,-74.04281706,3191,Union St,40.7182113,-74.0836394,42568,Customer,1979,1
391,06:17.3,12:48.7,3186,Grove St PATH,40.71958612,-74.04311746,3483,Montgomery St,40.71942,-74.05099,42278,Subscriber,1968,0
203,07:04.5,10:28.3,3193,Lincoln Park,40.7246051,-74.07840595,3191,Union St,40.7182113,-74.0836394,42475,Subscriber,1986,2
360,14:50.1,20:50.4,3276,Marin Light Rail,40.71458404,-74.04281706,3681,Grand St,40.71517768,-74.03768331,42504,Subscriber,1992,1
3655,18:35.2,19:31.2,3198,Heights Elevator,40.74871595,-74.0404433,3205,JC Medical Center,40.71653978,-74.04963791,42431,Subscriber,1981,1
859,27:31.4,41:51.2,3199,Newport Pkwy,40.7287448,-74.0321082,3483,Montgomery St,40.71942,-74.05099,42186,Subscriber,1992,1
