tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
2679,30:49.7,15:29.3,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42202,Subscriber,1993,2
2619,31:56.6,15:35.7,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42408,Customer,1969,0
2139,32:27.7,08:07.2,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42188,Customer,1969,0
282,32:59.1,37:41.5,3195,Sip Ave,40.7308971,-74.06391263,3194,McGinley Square,40.72533993,-74.06762213,42350,Subscriber,1989,2
82238,33:19.5,23:58.3,3202,Newport PATH,40.7272235,-74.0337589,3273,Manila & 1st,40.72165072,-74.04288411,42543,Subscriber,1991,2
112,34:22.5,36:15.0,3184,Paulus Hook,40.7141454,-74.0335519,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42274,Subscriber,1967,1
1712,34:53.6,03:26.2,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,42538,Subscriber,1990,2
1799,36:36.9,06:36.8,3267,Morris Canal,40.71241882,-74.03852552,3267,Morris Canal,40.71241882,-74.03852552,42208,Customer,1979,1
1669,37:41.6,05:31.5,3191,Union St,40.7182113,-74.0836394,3193,Lincoln Park,40.7246051,-74.07840595,42505,Customer,1969,0
1773,37:46.2,07:19.8,3273,Manila & 1st,40.72165072,-74.04288411,3273,Manila & 1st,40.72165072,-74.04288411,42368,Subscriber,1972,1
1727,38:14.8,07:01.8,3191,Union St,40.7182113,-74.0836394,3193,Lincoln Park,40.7246051,-74.07840595,42124,Customer,1969,0
1070,40:43.3,58:34.0,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,42308,Subscriber,1984,1
1656,41:53.5,09:30.2,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,42395,Customer,1993,0
517,42:03.6,50:41.5,3195,Sip Ave,40.7308971,-74.06391263,3194,McGinley Square,40.72533993,-74.06762213,42595,Subscriber,1980,1
423,42:39.5,49:42.7,3186,Grove St PATH,40.71958612,-74.04311746,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42458,Customer,1990,1
1133,43:17.7,02:11.3,3184,Paulus Hook,40.7141454,-74.0335519,3270,Jersey & 6th St,40.72528911,-74.04557168,42223,Subscriber,1962,1
2920,43:43.4,32:23.5,3268,Lafayette Park,40.71346383,-74.06285852,3199,Newport Pkwy,40.7287448,-74.0321082,42114,Subscriber,1992,1
1466,44:11.2,08:37.5,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42389,Customer,1969,0
1113,45:04.6,03:37.9,3184,Paulus Hook,40.7141454,-74.0335519,3199,Newport Pkwy,40.7287448,-74.0321082,42318,Subscriber,1959,1
2481,45:40.1,27:01.7,3276,Marin Light Rail,40.71458404,-74.04281706,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42198,Subscriber,1984,1
2580,48:18.6,31:19.2,3280,Astor Place,40.7192822,-74.07126188,3280,Astor Place,40.7192822,-74.07126188,42371,Subscriber,1972,1
